特征路径,缺失数量,缺失比例,取值范围
text_features.subject.urgency_level,264,2.20%,"唯一值：['unknown', 'Moderate', 'Low', 'High', 'Neutral']（共5种）"
text_features.subject.contains_threatening_language,264,2.20%,True（150次）、False（11586次）
text_features.subject.contains_seductive_language,264,2.20%,True（3217次）、False（8519次）
text_features.subject.contains_emergency_action_request,264,2.20%,True（2620次）、False（9116次）
text_features.subject.sentiment_score,264,2.20%,"[-0.85, 0.85]"
text_features.subject.sentiment_label,264,2.20%,"唯一值：['Neutral', 'Positive', 'Negative', 'unknown']（共4种）"
text_features.sender.impersonation_type,264,2.20%,"唯一值：['unknown', 'none', 'news_organization', 'brand_impersonation', 'news_service', 'brand', 'service_impersonation', 'non_profit_organization', 'news_subscription', 'potential_impersonation', 'sports_organization', 'financial_service', 'newsletter_service', 'possible_brand_impersonation', 'organization', 'potential_brand_impersonation', 'non-profit organization impersonation', 'News impersonation', 'organization_impersonation', 'educational_institution', 'conference', 'parody', 'cryptocurrency_service', 'gambling_or_gaming_service', 'romance_scams', 'celebrity_impersonation', 'cloud_service', 'health_product_promotion', 'romantic_persona', 'logistics', 'logistics_service', 'financial_institution', 'social_media_platform', 'gambling_service', 'romance_scam', 'celebrity_or_public_figure', 'government_entity', 'domain_spoofing', 'celebrity', 'health_service', 'product_promotion', 'logistics_company', 'romance', 'government', 'gambling_site', 'government_official', 'BrandImpersonation', 'service_related', 'pharmaceutical_brand', 'service_misrepresentation', 'Brand Impersonation', 'service', 'legal_institution', 'gambling_brand_impersonation', 'health_advisor', 'government_or_tax_authority', 'product_or_service_promotion', 'health_or_wellness_brand', 'government_or_authority', 'romance_or_dating_service', 'generic_service', 'casino_brand', 'healthcare', 'romance_or_dating', 'crypto_service', 'romantic_interest', 'product_or_service', 'romance_or_adult_site', 'pharmacy_service', 'pharmacy_brand_impersonation', 'pharmaceutical_brand_impersonation', 'government_agency', 'service_provider', 'dating_service', 'generic', 'gambling_promotion', 'health_brand', 'health-related impersonation', 'healthcare_professional', 'government_or_utility', 'health_organization', 'romance-related service', 'gambling_brand', 'Health Product Marketing', 'romance_or_adult_content', 'social_media_or_dating_platform', 'financial_institution_impersonation', 'romance_or_social_engineering', 'romance_or_emotional', 'cryptocurrency_brand', 'medical_professional', 'healthcare_service', 'crypto_brand_impersonation', 'Organization', 'crypto_wallet_service', 'social_platform', 'crypto-related brand', 'health_product', 'cryptocurrency-related', 'pharmacy', 'individual_impersonation', 'health_professional', 'government_service', 'health_newsletter', 'social_engineering', 'crypto_project', 'legitimate_brand_impersonation', 'Brand_Impersonation', 'professional', 'generic_brand_impersonation', 'energy_advisor', 'government_or_official_service', 'news_outlet', 'community_forum', 'social_media_service', 'romance-related', 'celebrity_or_brand_impersonation', 'health_service_impersonation', 'cryptocurrency_related', 'political_figure', 'academic_journal', 'academic_conference', 'government_or_institutional', 'domain_impersonation', 'academic_impersonation', 'system_admin', 'government_or_official_organization', 'technical_support', 'academic_service', 'corporate', 'academic_platform_impersonation', 'academic', 'system_administrator', 'government_or_official', 'possible_corporate_impersonation', 'system_impersonation', 'government_or_institution', 'institutional', 'academic_institution', 'system_service', 'conference_promotion', 'business_impersonation', 'service_provider_impersonation', 'academic_journal_impersonation', 'institution_impersonation', 'system_email', 'government_or_financial_institution']（共147种）"
text_features.sender.email_address_anomalies,264,2.20%,"唯一值：['unknown', 'unexpected_domain', 'suspicious_domain', 'complex_subdomain', 'none', 'unusual_domain', 'hyphenated_username', 'domain_mismatch', 'mismatched_domain', 'random_string_prefix', 'randomized_characters', 'mismatch_in_display_name_and_email_domain', 'googlegroups.com is a legitimate domain', 'domain mismatch with known brand', 'highly_anomalous', 'high_entropy_username', 'mismatch_with_known_domains', 'suspicious_subdomain', 'random_sequence_in_local_part', 'random_characters_in_local_part', 'unusual_subdomain_and_random_chars', 'long_and_complex_email_address', 'suspicious_random_chars_in_local_part', 'suspicious_domain_similarity', 'random_string_in_local_part', 'long_and_obfuscated', 'high_length_subdomain', 'long_subdomain', 'domain mismatch', 'long_and_complex_local_part', 'highly_suspicious', 'low_similarity_to_known_domains', 'mismatch_domain', 'suspicious_domain_mismatch', 'suspicious_patterns_detected', 'potential_mismatch', 'suspicious domain', 'mismatch_between_display_name_and_email_domain', 'suspicious_gmail_domain', 'domain mismatch with Rogers', 'suspicious domain and random characters in local part', 'suddenlinkmail.com is not a widely recognized domain', 'Low', 'sender domain does not match known brand', 'spoofed_domain', 'suspicious_subdomain_and_random_chars', 'domain_typo', 'domain_mismatch_known_brand', 'high_entropy', 'domain_mismatch_with_display_name', 'randomized_characters_in_local_part', 'domain mismatch with known brands', 'hyphenated_prefix_and_suffix', 'highly suspicious', 'suspicious_random_segments', 'gmail.com domain used for professional context', 'suspicious_gmail_domain_usage', 'mismatch_domain_name', 'non-standard domain', 'hyphenated_prefix', 'mismatch_in_display_name_and_domain', 'suspicious_subdomain_and_random_characters', 'mismatch_domain_and_signature', 'mismatch_with_known_brand', 'non_matching_name_and_domain', 'suspicious_characters_in_local_part', 'mmedd.wqsh@gmail.com does not match expected legitimate domain patterns', 'mismatch_with_display_name', 'low_similarity_to_known_brands', 'obfuscated_domain', 'random_string_username', 'fqaxmh@2fluid.co.uk', 'freemail.hu domain is less common for professional communication', 'mismatch between sender name and email domain', 'obfuscated', 'suspicious domain similarity', 'mismatch_in_domain', 'mismatch_between_display_name_and_domain', 'freemail.hu is a free email provider', 'mismatch_with_known_domain', 'unusual_domain_and_random_characters', 'unusual_subdomain_and_random_strings', 'suspicious_free_email_domain', 'highly_suspicious_characters', 'gmail.com domain used with random-seeming username', 'mismatched_domain_and_display_name', 'mismatch_name_and_domain', 'mismatch_with_known_brand_domain', 'random_string_in_username', 'low_risk', 'suspicious_domain_suffix', 'random_characters', 'mismatch_in_domain_and_identity', 'non_corporate_domain', 'High', 'suspicious domain mismatch', 'suspicious_subdomain_and_random_strings', 'long_random_string', 'mismatch_in_display_name_and_email_address', 'mismatch_name_email', 'random_string_before_name', 'random_strings_in_local_part', 'domain_similarity_to_known_brands_low', 'suspicious_random_characters', 'unusual_subdomain', 'invalid_format', 'randomized_domain_segments', 'domain mismatch with well-known brands', 'domain mismatch with legitimate brand', 'generic gmail.com domain', 'random_characters_in_username', 'address contains obfuscated name and non-standard domain', 'highly_complex_email_address', 'domain mismatch with brand name', 'suspicious domain and misspelled name', 'mismatch_in_display_name_and_email', 'mismatch_sender_name_and_domain', 'unrelated_name_in_display', 'suspicious_characters_in_display_name', 'highly_complex', 'domain mismatch with official MoveOn.org', ""domain mismatch with receiver's organization"", 'homelinux.com domain, uncommon structure', 'potential_domain_mismatch', 'hyphenated_username_and_domain_mismatch', 'reply_domain_used', 'long_random_string_in_local_part', 'suspicious_characters', 'Long subdomain', 'generic_gmail_address', 'subdomain_mismatch', 'mismatch_between_name_and_email_domain', 'suspicious domain (gmail.com)', 'domain_mismatch_with_known_brand', 'suspicious', 'suspicious domain; mismatch with known brand', 'unusual_prefix_suffix', 'non-standard characters in local part', 'mismatch_with_known_brands', ""suddenlinkmail.com is not associated with the sender's claimed identity"", 'suspicious_random_chars', 'domain_case_irregularity', 'unrelated_domain', 'domain mismatch with legitimate organizations', 'trueblade.com (not a known Python-related domain)', 'personal_email_domain', 'no_matching_known_brand', 'yahoo.com domain used for technical communication', 'random_string_segments', 'yahoo.com domain used for opensuse.org related communication', 'suspicious_name_formatting', 'mismatch_event_organizer_domain', 'mismatch_between_name_and_domain', 'suspicious domain and random string in local part', 'gmail.com domain used for non-Google service communication', 'via RT <veyjhby-fbuaeanj@perl.org>', 'uppercase_domain', 'suspicious_random_string_in_local_part', 'domain mismatch with legitimate brands', 'hyphenated_and_random_segments', 'mismatched_display_name_and_email_domain', 'hyphenated_prefix_suffix', 'gmail.com is a generic domain', 'suddenlinkmail.com is not commonly associated with legitimate brands', 'encoded_characters_in_name', 'suspicious domain (slack.net)', 'mismatched_quotes_in_display_name', 'rssfeeds@spamassassin.taint.org', 'unusual_domain_for_sender', 'suspicious_username', 'suspicious domain and username', 'unusual_username', 'hotmail.com', 'username_contains_nonsense_words', 'username contains potentially informal or unusual naming pattern', 'non-corporate domain', 'non-standard username', 'uncommon_username_and_domain', 'non-standard username and domain', 'domain_contains_uppercase_letters', 'domain mismatch (dOink.COM vs doink.com)', 'name_mismatch', 'nospamplease in address', 'nospamplease in local part', 'nospamplease', 'unusual_domain_combination', 'domain mismatch (redhat@xlnt-software.com)', 'none detected', 'no anomalies detected', 'invalid_domain', ""rssfeeds@spamassassin.taint.org contains suspicious domain 'spamassassin.taint.org'"", 'valid', 'rssfeeds@spamassassin.taint.org does not match typical brand domains', ""rssfeeds@spamassassin.taint.org is suspicious due to 'spamassassin' in domain"", 'rssfeeds@spamassassin.taint.org is generic and lacks personalization', 'tagged_address', 'encoded_name', 'encoded_characters', 'typo_in_domain', 'domain mismatch with expected sender', 'suspicious domain and format', 'mismatch_in_sender_name_and_email_domain', 'mismatch_sender_display_name', 'SPF_PermError, DKIM_None, DMARC_Fail', 'mixed_case_and_mismatched_domain', 'SPF_fail_DKIM_fail_DMARC_fail', 'domain_too_long_and_obfuscated', 'suspicious domain and sender mismatch', 'mismatch_with_brand_domain', 'SPF_Fail, DKIM_Fail, DMARC_Fail', 'mismatched_domain,suspicious_tld', 'SoftFail SPF, DKIM not signed, DMARC fail', 'unusual_domain_structure', 'mismatched_domain,suspicious_hostname', 'domain mismatch with known brand OpenSea', 'unusual_domain_suffix', 'SPF_Fail', 'mismatch_in_domain_and_display_name', 'SPF fail, DKIM none', 'SPF_Fail_DKIM_Fail_DMARC_Fail', 'suspicious_characters_and_mismatched_domain', 'SuspiciousDomain', 'softfail_spf', 'spf_fail,dmarc_fail,dkim_fail', 'mismatched_domain_and_sender_identity', 'Suspicious domain, Mismatched sender name and domain', 'mismatch between sender display name and email domain', 'domain_discrepancy', 'mismatch_with_legitimate_domain', 'empty_angle_brackets', 'missing_domain', 'unknown_domain', 'mismatch between display name and domain', 'long_subdomain_chain', 'SPF_PermError', 'softfail_spf,dmarc_fail,compauth_fail', 'mismatched_domain,suspicious_username', 'SPF_Fail, DKIM_None, DMARC_None', 'noreply@md.de does not match known brand domains', 'outlook.com domain used with suspicious sender IP', 'invalid_domain_format', 'highly_suspicious_domain', 'empty_display_name', 'Mismatched Domain (qteyjf.net vs Norton)', 'domain_mismatch_and_suspicious_keywords', 'suspicious_domain_and_random_characters', 'noreply@zohosalesiq.com appears legitimate, but lacks strong domain alignment with known brands.', 'SPF fail, DKIM none, DMARC none', 'Suspicious domain (luffy.talaba.click)', 'SPF Fail, DKIM None, DMARC None', 'domain_mismatch_with_brand', 'SPF_fail, DKIM_fail, DMARC_fail', 'suspicious_domain_and_sender_mismatch', 'suspicious_domain_and_random_prefix', 'spf_fail', ""noreply@magazineluiza.com.br uses generic 'noreply' prefix"", 'encoded_characters_in_display_name', 'mismatch_sender_display_name_and_domain', 'suspicious_domain_and_username', 'suspicious_domain_length_and_structure', 'suspicious domain and unusual sender name format', 'mismatch_with_declared_brand', 'softfail_spf, no_dkim_signature, dmarc_fail', 'generic_outlook_domain', 'multiple_sender_addresses', 'mismatch_sender_domain', 'mismatched_display_name_and_email', 'mismatch_between_domain_and_sender_identity', 'missing_email_domain', 'suspicious_return_path', 'invalid_format_and_numeric_sequence', 'Suspicious domain and sender name mismatch', 'suspicious_domain_and_format', 'unknown_sender_domain', 'mismatched_domain_and_sender_name', 'Mismatched domain (pianoskalaydjian.com vs decryptmedia.com)', 'SPF_Fail,DNS_Mismatch', 'mismatch_from_header_and_domain', 'unusual domain and sender name mismatch', 'multiple_senders', 'suspicious_domain_length', 'SPF_Fail_DKIM_None', 'mismatch_between_sender_display_name_and_email_domain', 'Spoofed domain', 'SPF_Fail_DKIM_Timeout_DMARC_Fail', 'Suspicious domain, Non-standard TLD', 'SPF None, DKIM Fail, DMARC None', 'Mismatched domain, Random string in address', 'unusual_domain_length', 'suspicious_sender_name', 'Unusual domain, random string in email address', 'suspicious domain structure', 'suspicious_domain_and_subdomain', 'hex_encoded_string_in_local_part', 'Suspicious domain and random string in local part', 'softfail_spf,dmarc_fail,dkim_fail', 'hexadecimal_encoded_string', 'suspicious_domain_and_random_subdomain', 'jobs@webykw.com does not match known brand domains', 'suspicious_domain_and_display_name_mismatch', 'noreply@att.net does not designate permitted sender hosts; SPF=none; DKIM=ignore; DMARC=none', 'misspelled_domain', 'multiple_from_addresses', 'noreply@team.mobile.de', 'suspicious_domain_and_random_chars', 'suspicious domain and random username', 'Spoofed Domain', 'invalid_characters', 'mismatch_display_name_and_email_domain', 'Suspicious domain mismatch and random characters in sender address', 'noreply@postmaster.google.com is likely spoofed', 'softfail_spf_and_dkim_fail', 'Sender address contains unusual domain', 'SPF fail, sender IP mismatch', 'unusual_characters_and_random_strings', 'invalid_domain,mismatched_brand_name', 'Domain mismatch, SPF SoftFail, DMARC Fail', 'suspicious_domain_format', 'spf_fail_dmarc_fail', 'suspicious_domain_and_structure', 'suspicious_subdomain_and_domain', 'suspicious_domain_structure', 'SPF_SoftFail, DKIM_Fail, DMARC_Fail', 'suspicious_domain_and_username_mismatch', 'mismatch_sender_display_name_and_email_domain', 'Suspicious Domain', 'invalid_domain_suffix', 'embedded_hex_code', 'noreply@scrol.io appears to be a generic automated sender address', 'Domain mismatch with Microsoft', 'mismatched domain name (roffiaen.com)', 'Mismatched Domain, Invalid Sender Domain', 'inconsistent_display_name_and_email', 'PermError in SPF, DKIM not signed, DMARC fail', 'mismatch_display_name_and_email,mixed_case_in_display_name', 'outlook.com domain used for pharmacy-related content', 'invalid_domain_syntax', 'unusual_characters_and_length', 'suspicious domain and sender name mismatch', 'spf_fail, dkim_fail, dmarc_fail', 'Unusual domain, Mismatched sender name and domain', 'Mismatched Domain', 'missing_email_address', 'suspicious domain and random name combination', 'mismatched_domain,suspicious_subdomain', 'mismatch_with_trust_wallet_domain', 'suspicious_domain_and_subdomain_structure', 'zero_width_characters, mismatched_domain', 'multiple_sender_domains', 'Mismatched_Domain', 'SPF_fail|DKIM_fail|DMARC_fail', 'excessive_subdomains', 'spf_softfail_dkim_fail', 'missing_tld', 'mismatched_name_and_domain', 'mismatch_with_brand_name', 'Missing Valid Domain', 'Mismatch between domain and brand (tradestars.com.br vs. Ledger)', 'unknown_domain_suffix', 'suspicious_domain_extension', 'mismatch_with_declared_identity', 'Mismatch between sender domain and brand domain', 'obfuscated_characters', 'mismatch_domain_and_display_name', 'no_valid_domain', 'suspicious_domain; random_characters_in_local_part', 'random_generated', 'suspicious_domain_and_display_name', 'long_nested_subdomains', 'SPF_fail, DKIM_none, DMARC_none', 'mismatch_from_return_path', 'Mismatched domain, Missing proper domain validation', 'noreply@zohosalesiq.com appears legitimate, but domain is not directly related to the content', 'Spoofed domain, Hidden characters', 'spf_softfail,dkim_none,dmarc_fail', 'domain mismatch with display name', 'suspicious_domain_segments', 'noreply@team.mobile.de does not match legitimate domain patterns', 'numeric_sequence_in_local_part', 'suspicious domain (white1.hmama.shop)', 'mismatch between sender name and domain', 'mismatch_name_and_email_domain', 'suspicious domain (alison.rubiyo.xyz)', 'noreply usage with unrelated domain', 'inconsistent_domain', 'mismatch_with_domain', 'mismatch_between_sender_name_and_domain', 'zero_width_characters', 'unusual_domain_suffix,numeric_sequence_in_local_part', 'mismatch_from_display_name', 'newsletter@mail.toom.de does not match typical brand domain patterns', 'softfail_spf_mismatch', 'noreply@postmaster.google.com is suspicious as it does not match a legitimate domain', 'SPF_Fail_DKIM_Fail', 'irregular_domain', 'non-standard characters in address', 'irregular_characters', 'non_standard_format', 'unusual_characters', 'suspicious_local_part', 'unusual_sender_domain', 'unusual_domain_and_username', 'non-standard format', 'numeric_prefix', 'irregular_domain_pattern', 'unusual_characters_in_local_part', 'duplicate_sender_address', 'non-standard_email_format', 'non-standard_domain', 'unusual_characters_in_domain', 'irregular_domain_format', 'malformed_email_address', 'format irregularities', 'Suspicious domain structure', 'irregular_format', 'non-standard domain, lacks common brand name', 'multiple_identical_addresses', 'duplicate_sender_addresses', 'sender_domain_mismatch_known_brand', 'duplicate_email_address', 'non_standard_domain', 'suspicious_local_part_and_domain', 'numeric_only', 'suspicious_numeric_suffix', 'unusual_characters_in_email', 'unusual_character_combination', 'random_string', 'mismatch_in_domain_and_brand_name', 'bounce-248-7992764-248-248@viedlc.xyz', 'bounce-452-1788104-452-248@a.98765432.com.cn', 'non-standard domain, no clear brand association', 'suspicious_numeric_sequence', 'random_chars_in_local_part', 'Mismatch between sender domain and reply-to domain', 'irregular', 'address does not match standard format for known brands', 'non-standard domain and format', 'malformed_address', 'unusual_characters_in_username', 'domain mismatch with company name', 'duplicate_addresses', 'non-standard domain, missing name similarity to known brands', 'multiple_addresses', 'bounce-248-15033416-248-248@a.tubeitty.com', 'non-standard_characters', 'non-standard characters in local part and domain', 'obscured_domain', 'randomized_domain', 'multiple_emails_in_from_field', 'non-standard structure', 'invalid format', 'non-standard format with numeric segments', 'mismatch_with_displayed_identity', 'true', 'non-standard domain, lacks common corporate structure', 'unusual_format', 'duplicate_email_addresses', 'valid_format', 'multiple_addresses_detected', 'multiple_sender_addresses_detected', 'non-standard domain, lacks common corporate email format', 'multiple identical addresses in From field', 'abnormal_characters_in_local_part', 'unusual characters in local part', 'mismatch_sender_display_and_return_path', 'unusual_domain_format', 'unusual_characters_and_format', 'suspicious_format', 'non_descriptive_domain', 'non-standard domain and username format', 'malformed_email_format', 'duplicate_email_in_from_field', 'random_chars', 'potential_duplicate_sender', 'irregular domain structure', 'domain_mismatch_known_brands', 'bounce-2696-22187492-2696-248@cfhcw.cn', 'unusual_domain_and_format', 'mismatch_with_company_domain', 'incomplete_domain', 'address contains non-standard domain', 'random_string_format', 'non-standard characters', 'irregular_sender_format', 'alphanumeric_mix_with_special_chars', 'mismatch_with_legitimate_domains', 'duplicate_sender_email', 'random_characters_in_domain', 'multiple_identical_senders', 'malformed', 'random_characters_in_username_and_domain', 'random_string_mismatch', 'duplicate_email']（共493种）"
text_features.sender.sender_reputation_score,264,2.20%,"[0.0, 13.98]"
text_features.sender.domain_similarity_to_known_brands,264,2.20%,"[0.0, 1.0]"
